,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price Per Liter mean,2015 Volume Sold Liters mean,2015 Volume Sold Liters,Zip Code,2015 Profit Margin mean,2015 Sales Q1,First Date,Last Date
0,2106,CEDAR FALLS,9731.85,18.4665085389,146326.22,277.65886148,7.0,17.8566007048,50613,92.6718785579,39287.29,2015-01-08,2016-03-31
1,2113,GOWRIE,659.85,4.4887755102,9310.22,63.334829932,94.0,18.5077000324,50543,21.1499319728,2833.25,2015-01-07,2016-03-23
2,2130,WATERLOO,6891.37,17.5800255102,111871.43,285.38630102,7.0,16.8358093416,50703,95.2173469388,24272.57,2015-01-08,2016-03-31
3,2152,ROCKWELL,633.37,4.4919858156,7721.08,54.7594326241,17.0,13.020765122,50469,18.3512765957,2003.46,2015-01-08,2016-03-17
4,2178,WAUKON,1917.12,8.08911392405,24324.18,102.633670886,3.0,16.0538441186,52172,34.4544303797,5856.41,2015-01-07,2016-03-30
5,2190,DES MOINES,6322.17,4.8077338403,121689.06,92.5392091255,77.0,23.3062274825,50314,30.8880076046,29452.92,2015-01-05,2016-03-31
6,2191,KEOKUK,8053.32,13.5122818792,125093.49,209.88840604,56.0,19.0640531492,52632,70.0409228188,29085.57,2015-01-05,2016-03-28
7,2200,SAC CITY,1817.24,4.50928039702,22811.55,56.6043424318,81.0,16.7069689267,50583,18.9912406948,4900.43,2015-01-07,2016-03-30
8,2205,CLARINDA,1556.91,5.4059375,24681.39,85.6992708333,73.0,19.1625538673,51632,28.6254513889,6407.74,2015-01-06,2015-12-28
9,2228,WINTERSET,1367.65,5.69854166667,17462.07,72.758625,61.0,17.8901010338,50273,24.3514166667,5193.97,2015-01-06,2016-03-29
10,2233,SPIRIT LAKE,2480.69,10.2933195021,29553.34,122.627966805,30.0,19.9450824936,51360,40.9404979253,5374.55,2015-01-06,2016-03-29
11,2238,ALTOONA,705.75,11.5696721311,11762.56,192.828852459,77.0,22.5507494145,50009,64.3057377049,858.61,2015-01-13,2016-03-30
