,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price Per Liter mean,Zip Code,2015 Volume Sold Liters,2015 Volume Sold Liters mean,2015 Profit Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
0,2106,CEDAR FALLS,24605.22,46.6892220114,7,3.20908004779,50613,22.0874383302,9731.85,18.4665085389,7028.29,4976.75,2015-01-08,2016-03-31
1,2113,GOWRIE,1599.22,10.879047619,94,3.25232804233,50543,4.99346938776,659.85,4.4887755102,544.25,388.9,2015-01-07,2016-03-23
2,2130,WATERLOO,20301.43,51.7893622449,7,3.2906425375,50703,29.8346938776,6891.37,17.5800255102,5652.57,5126.11,2015-01-08,2016-03-31
3,2152,ROCKWELL,893.08,6.33390070922,17,1.77837871866,50469,7.8690070922,633.37,4.4919858156,197.46,114.66,2015-01-08,2016-02-25
4,2178,WAUKON,4933.18,20.8151054852,3,2.77285580899,52172,8.71603375527,1917.12,8.08911392405,1336.41,878.5,2015-01-07,2016-03-30
5,2190,DES MOINES,19276.06,14.6586007605,77,3.75547761461,50314,4.48648669202,6322.17,4.8077338403,4280.92,5656.69,2015-01-05,2016-03-31
6,2191,KEOKUK,25669.49,43.069614094,56,3.39910067844,52632,11.955352349,8053.32,13.5122818792,6603.57,5529.2,2015-01-05,2016-03-28
7,2200,SAC CITY,3308.55,8.20980148883,81,2.57262214454,50583,6.49744416873,1817.24,4.50928039702,711.43,728.87,2015-01-07,2016-03-30
8,2205,CLARINDA,4139.01,14.4216376307,73,3.28300187169,51632,7.28804878049,1555.41,5.41954703833,1050.74,572.38,2015-01-06,2015-12-28
9,2228,WINTERSET,3323.07,13.846125,61,3.39741619674,50273,9.16391666667,1367.65,5.69854166667,1059.97,1332.65,2015-01-06,2016-03-29
10,2233,SPIRIT LAKE,4983.34,20.6777593361,30,3.5371521015,51360,10.7039834025,2480.69,10.2933195021,914.55,9.32,2015-01-06,2016-03-29
11,2238,ALTOONA,1303.56,21.3698360656,77,2.93749154307,50009,32.5352459016,705.75,11.5696721311,108.61,2394.18,2015-01-13,2016-01-21
12,2248,DES MOINES,11309.06,24.5849130435,77,4.75081633209,50312,4.76197826087,2815.35,6.12032608696,2523.68,1956.69,2015-01-08,2016-03-31
13,2285,IOWA CITY,12637.11,41.297745098,52,5.11107886364,52240,19.2941503268,3860.35,12.6155228758,2149.12,1865.93,2015-01-07,2016-03-30
14,2290,STORM LAKE,8650.43,11.0337117347,11,2.84405890492,50588,5.55914540816,3626.2,4.62525510204,1792.26,349.57,2015-01-07,2016-03-30
15,2327,CORNING,1556.14,8.23354497354,2,2.62077790375,50841,5.17814814815,822.28,4.35068783069,332.6,529.94,2015-01-06,2016-03-29
16,2353,CRESCO,7800.19,21.5474861878,45,2.63744683052,52136,19.6177071823,4486.65,12.3940607735,2202.6,3855.03,2015-01-06,2016-02-23
17,2413,DUBUQUE,14805.02,30.7796673597,31,2.71922260172,52001,12.1763409563,6261.29,13.0172349272,4049.16,214.37,2015-01-06,2015-06-09
18,2445,OAKLAND,961.48,5.62269005848,78,2.43515269656,51560,2.11807017544,571.79,3.34380116959,155.08,845.18,2015-01-07,2016-03-29
19,2448,INDIANOLA,2657.7,6.46642335766,91,2.72614455339,50125,2.92094890511,1245.53,3.030486618,749.92,285.69,2015-01-06,2016-03-29
20,2459,GUTHRIE CENTER,1382.33,12.7993518519,39,2.50195054223,50115,7.01925925926,607.24,5.62259259259,369.57,954.76,2015-01-05,2016-03-28
21,2460,HAMPTON,5545.76,16.6539339339,35,2.56811690679,50441,8.39813813814,2782.46,8.35573573574,904.61,750.07,2015-01-05,2016-03-28
22,2465,DUBUQUE,4898.8,12.5289002558,31,3.72501196738,52003,6.17856777494,1713.2,4.38158567775,1098.99,822.62,2015-01-05,2015-12-26
23,2475,WEST BEND,3211.07,43.3928378378,55,2.80881166881,50597,20.1610810811,1044.94,14.1208108108,2372.76,172.34,2015-01-07,2016-03-29
24,2478,ALTOONA,3310.65,38.4959302326,77,4.34233850129,50009,9.28395348837,1038.0,12.0697674419,609.85,6019.19,2015-01-06,2016-03-29
