,num_votes,rating,tconst,title,year
0,1677125,9.3,tt0111161,The Shawshank Redemption,1994
1,1147488,9.2,tt0068646,The Godfather,1972
2,784568,9.0,tt0071562,The Godfather: Part II,1974
3,1662425,9.0,tt0468569,The Dark Knight,2008
4,858289,8.9,tt0108052,Schindler's List,1993
5,443596,8.9,tt0050083,12 Angry Men,1957
6,1314588,8.9,tt0110912,Pulp Fiction,1994
7,1206872,8.9,tt0167260,The Lord of the Rings: The Return of the King,2003
8,499784,8.9,tt0060196,"The Good, the Bad and the Ugly",1966
9,1336475,8.9,tt0137523,Fight Club,1999
10,1230174,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
11,830801,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980
12,1240148,8.8,tt0109830,Forrest Gump,1994
13,1455883,8.8,tt1375666,Inception,2010
14,1092265,8.7,tt0167261,The Lord of the Rings: The Two Towers,2002
15,675149,8.7,tt0073486,One Flew Over the Cuckoo's Nest,1975
16,722990,8.7,tt0099685,Goodfellas,1990
17,1208622,8.7,tt0133093,The Matrix,1999
18,227481,8.7,tt0047478,Seven Samurai,1954
19,904271,8.7,tt0076759,Star Wars: Episode IV - A New Hope,1977
20,529615,8.7,tt0317248,City of God,2002
21,1015237,8.6,tt0114369,Se7en,1995
22,879996,8.6,tt0102926,The Silence of the Lambs,1991
23,273753,8.6,tt0038650,It's a Wonderful Life,1946
24,735385,8.6,tt0114814,The Usual Suspects,1995
25,416174,8.6,tt0118799,Life Is Beautiful,1997
